trade_id,side,entry_index,entry_time,entry_price,entry_price_raw,size,exit_index,exit_time,exit_price,exit_price_raw,pnl,pnl_pct,exit_reason,buy_link
1,BUY,46,2025-10-01 23:00:00,115.86,115.86,28.482651475919212,,,,,,,,2025-10-01 23:00:00
1,SELL,46,2025-10-01 23:00:00,115.86,115.86,28.482651475919212,54.0,2025-10-02 03:00:00,125.4,125.4,271.7244950802692,8.234075608493006,Exit Signal,2025-10-01 23:00:00
2,BUY,78,2025-10-02 15:00:00,134.03,134.03,26.648694285460486,,,,,,,,2025-10-02 15:00:00
2,SELL,78,2025-10-02 15:00:00,134.03,134.03,26.648694285460486,117.0,2025-10-03 10:30:00,155.05,155.05,560.1555538803791,15.68305603223158,Exit Signal,2025-10-02 15:00:00
3,BUY,126,2025-10-03 15:00:00,142.34,142.34,29.02824258086728,,,,,,,,2025-10-03 15:00:00
3,SELL,126,2025-10-03 15:00:00,142.34,142.34,29.02824258086728,180.0,2025-10-04 18:00:00,166.27,166.27,694.6458449601541,16.81185892932416,Exit Signal,2025-10-03 15:00:00
4,BUY,189,2025-10-04 22:30:00,156.68,156.68,30.804990387546606,,,,,,,,2025-10-04 22:30:00
4,SELL,189,2025-10-04 22:30:00,156.68,156.68,30.804990387546606,364.0,2025-10-08 14:00:00,151.8,151.8,-150.32835309122765,-3.1146285422517277,Exit Signal,2025-10-04 22:30:00
5,BUY,388,2025-10-09 02:00:00,170.59,170.59,27.41190890925362,,,,,,,,2025-10-09 02:00:00
5,SELL,388,2025-10-09 02:00:00,170.59,170.59,27.41190890925362,420.0,2025-10-09 18:00:00,212.81,212.81,1157.3307941486883,24.749399144146793,Exit Signal,2025-10-09 02:00:00
6,BUY,430,2025-10-09 23:00:00,210.17,210.17,27.756237022307005,,,,,,,,2025-10-09 23:00:00
6,SELL,430,2025-10-09 23:00:00,210.17,210.17,27.756237022307005,432.0,2025-10-10 00:00:00,223.09,223.09,358.6105823282069,6.147404482085937,End of Test,2025-10-09 23:00:00
